group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
G,Bélgica,Egito,15/06,16.2596,10.4339,4.2911,1.3236,0.9996,7.8799,3.2407,1.2237,0.3775,0.095,14.3624,13.4273,2.9755,0.3081,0.0179,9.699,3.9094,0.9841,0.1858,4.8233,1.2142,0.2293,0.7491,0.1414,0.0582,,
G,Bélgica,Irã,21/06,12.2124,9.3851,4.5684,1.6678,1.625,9.1442,4.4512,2.1685,0.7917,0.2571,9.443,13.1648,4.4548,0.7043,0.0626,7.9349,4.178,1.3569,0.3305,6.1011,1.9815,0.4827,1.4468,0.3524,0.1715,,
G,Nova Zelândia,Bélgica,26/06,5.6796,1.8706,0.3755,0.0565,0.0948,3.1366,0.6296,0.5278,0.0795,0.0444,10.8505,10.9507,2.6296,0.295,0.0186,16.7661,14.5033,8.1061,3.398,8.7337,4.8814,2.0462,1.4697,0.6161,0.1237,,
G,Egito,Irã,26/06,13.3053,6.1595,1.8076,0.3978,0.3818,5.9109,1.7346,0.8323,0.1832,0.0586,16.5811,14.1154,2.8362,0.2662,0.0141,14.5648,7.3184,2.341,0.5616,6.443,2.061,0.4945,0.9072,0.2177,0.0639,,
G,Nova Zelândia,Egito,21/06,11.3173,3.5393,0.6997,0.1038,0.1049,3.5778,0.7073,0.3575,0.053,0.0179,20.7405,12.6824,1.8084,0.1205,0.0045,19.7241,10.2815,3.4644,0.8755,6.098,2.0548,0.5193,0.6093,0.154,0.0304,,
G,Irã,Nova Zelândia,15/06,16.9512,11.4656,4.9844,1.6251,1.1408,8.0488,3.499,1.2281,0.4004,0.0937,14.1141,12.975,2.8251,0.2874,0.0164,8.8325,3.322,0.7773,0.1364,4.3324,1.0138,0.1779,0.6611,0.116,0.0504,,
H,Uruguai,Espanha,26/06,9.6723,3.5418,0.811,0.1393,0.1687,4.2894,0.9822,0.5948,0.1021,0.0412,15.6502,13.1278,2.5975,0.2401,0.0125,17.5404,11.0088,4.4442,1.3456,7.5624,3.0529,0.9244,1.0486,0.3175,0.0727,,
H,Espanha,Arábia Saudita,21/06,15.833,18.1677,13.6045,7.6406,3.1494,7.4886,5.6077,1.1557,0.6491,0.0892,7.5411,7.0083,1.5434,0.1588,0.0092,2.6264,0.6116,0.084,0.0087,1.374,0.1888,0.0195,0.2121,0.0219,0.0164,,
H,Espanha,Cabo Verde,15/06,12.4155,16.915,15.0215,10.0049,4.3506,7.3554,6.532,1.4202,0.9459,0.1371,5.049,5.8044,1.5992,0.2059,0.0149,1.7899,0.4506,0.0653,0.0071,1.2006,0.174,0.0189,0.2318,0.0252,0.0224,,
H,Arábia Saudita,Uruguai,15/06,7.3062,1.5599,0.208,0.0208,0.0257,1.9289,0.2572,0.159,0.0159,0.0066,19.9942,10.1383,1.1925,0.0655,0.002,23.6184,14.9072,6.1442,1.8993,5.9627,2.4576,0.7597,0.4915,0.1519,0.0203,,
H,Uruguai,Cabo Verde,21/06,21.7974,16.3345,7.9842,2.927,1.2351,6.8927,3.3691,0.7108,0.2606,0.0367,15.6743,9.8822,1.4542,0.1,0.0039,5.9297,1.3526,0.1903,0.0201,1.9834,0.279,0.0294,0.2045,0.0216,0.0105,,
H,Cabo Verde,Arábia Saudita,26/06,14.1818,5.812,1.5164,0.2967,0.2611,5.1139,1.3342,0.587,0.1149,0.0337,19.6423,13.7359,2.2498,0.1722,0.0074,16.0255,7.3446,2.1541,0.4739,5.7487,1.6861,0.3709,0.6599,0.1452,0.0379,,
I,França,Senegal,16/06,15.1045,10.9656,5.0924,1.7737,1.4022,8.6691,4.0259,1.5914,0.5543,0.1461,11.936,13.0819,3.4268,0.4194,0.0289,8.2955,3.5309,0.9305,0.1839,4.9193,1.2964,0.2562,0.903,0.1785,0.0829,,
I,Noruega,França,26/06,7.5062,4.1286,1.3966,0.3543,0.5364,6.2506,2.1144,1.6005,0.4061,0.2049,8.6488,12.9495,4.7316,0.8077,0.0776,11.5086,9.1892,4.6374,1.7552,9.3252,4.706,1.7812,2.3878,0.9038,0.3057,,
I,França,Iraque,22/06,16.5489,17.2308,11.6731,5.931,2.7834,8.0863,5.4781,1.2854,0.6531,0.1022,8.7505,8.3648,1.8974,0.2011,0.012,3.508,0.9187,0.1437,0.0169,1.8672,0.2921,0.0343,0.2968,0.0348,0.0236,,
I,Noruega,Senegal,22/06,11.9741,7.8149,3.2182,0.994,1.0395,8.1734,3.3658,1.7601,0.5436,0.1895,10.9181,13.9092,4.2741,0.6136,0.0496,10.0331,5.6009,1.9526,0.5105,6.9194,2.4123,0.6307,1.4901,0.3896,0.1604,,
I,Senegal,Iraque,26/06,18.9685,13.717,6.4195,2.2532,1.2873,7.8367,3.6675,1.0477,0.3677,0.07,14.489,11.735,2.2386,0.1995,0.01,7.3798,2.2713,0.4325,0.0618,3.1889,0.6073,0.0867,0.4263,0.0609,0.0285,,
I,Iraque,Noruega,16/06,5.049,1.7266,0.3573,0.0555,0.0999,3.1117,0.644,0.5803,0.0901,0.0541,9.4723,10.5373,2.8039,0.3486,0.0244,15.6329,14.5492,8.7402,3.9379,9.0327,5.4262,2.4448,1.6844,0.7589,0.1571,,
J,Argentina,Áustria,22/06,18.5356,16.1454,9.136,3.8772,1.9355,8.0599,4.5607,1.1384,0.4831,0.0804,11.6914,9.9819,2.0118,0.1894,0.01,5.1077,1.3962,0.2323,0.029,2.3702,0.3944,0.0492,0.3348,0.0418,0.0236,,
J,Argentina,Argélia,16/06,17.132,16.3131,10.0837,4.6748,2.3969,8.3642,5.1702,1.3255,0.6145,0.105,9.9494,9.4827,2.1443,0.2265,0.0135,4.4028,1.2471,0.2131,0.0273,2.3126,0.3953,0.0507,0.3665,0.047,0.029,,
J,Jordânia,Argentina,27/06,1.7959,0.4194,0.0565,0.0057,0.015,1.0979,0.148,0.1938,0.0196,0.0171,5.4053,5.7069,1.4371,0.1691,0.0112,13.1444,17.5683,15.33,10.0326,7.1059,6.2005,4.0579,1.254,0.8207,0.1106,,
J,Argélia,Áustria,27/06,9.8655,6.1462,2.3905,0.6973,0.8654,7.6276,2.9667,1.8409,0.537,0.2221,9.6978,13.7432,4.733,0.7615,0.0689,10.5353,6.9526,2.8761,0.8923,8.1126,3.356,1.0412,1.9579,0.6075,0.2363,,
J,Áustria,Jordânia,16/06,11.6446,10.7045,6.251,2.7378,2.5201,9.8531,5.7539,2.6481,1.1598,0.3559,7.5514,11.8244,4.5348,0.8125,0.0819,5.8449,2.9551,0.9067,0.2086,5.177,1.5884,0.3655,1.3914,0.3202,0.187,,
J,Jordânia,Argélia,22/06,5.5856,3.0931,1.0367,0.2606,0.4689,5.5656,1.8654,1.6783,0.4219,0.253,6.6853,11.6369,5.0072,1.0066,0.1138,10.4428,9.905,5.9408,2.6724,9.9596,5.9736,2.6871,3.0033,1.351,0.4528,,
K,Colômbia,Portugal,27/06,10.1239,6.6515,2.7335,0.8425,1.0163,8.0234,3.2973,1.9887,0.613,0.2465,9.4184,13.6822,4.8392,0.7996,0.0743,9.891,6.3675,2.5603,0.7721,7.8503,3.1565,0.9519,1.9458,0.5868,0.2411,,
K,Portugal,Uzbequistão,23/06,17.6548,14.3834,7.5775,2.994,1.7565,8.4384,4.4455,1.304,0.5153,0.1008,12.0631,11.225,2.4753,0.255,0.0148,6.2098,1.9819,0.3876,0.0568,3.1324,0.6126,0.0898,0.4841,0.071,0.0374,,
K,Portugal,República Democrática do Congo,17/06,19.0708,14.9477,7.5983,2.8968,1.539,7.9416,4.0369,1.0724,0.4088,0.0724,13.3885,10.9487,2.1097,0.1899,0.0096,6.2968,1.8144,0.3213,0.0427,2.7668,0.49,0.0651,0.3736,0.0496,0.0252,,
K,Uzbequistão,Colômbia,17/06,6.4273,1.9279,0.3555,0.0492,0.0749,2.9361,0.5414,0.4122,0.057,0.0289,13.1459,11.1598,2.2358,0.2093,0.011,18.6497,14.6154,7.4196,2.825,8.0842,4.104,1.5626,1.135,0.4322,0.0797,,
K,Colômbia,República Democrática do Congo,23/06,20.0407,15.1123,7.4025,2.7195,1.3622,7.57,3.708,0.9287,0.3412,0.057,14.5242,10.8303,1.896,0.1551,0.0071,6.4838,1.756,0.2932,0.0367,2.5804,0.4309,0.054,0.3166,0.0396,0.0194,,
K,República Democrática do Congo,Uzbequistão,27/06,16.3163,5.553,1.2148,0.1993,0.1394,3.8831,0.8495,0.297,0.0487,0.0114,26.3895,12.4389,1.3577,0.0692,0.002,17.4241,6.3039,1.4694,0.2569,4.1373,0.9644,0.1686,0.3165,0.0553,0.0121,,
L,Inglaterra,Croácia,17/06,16.7218,10.8042,4.4807,1.3937,1.0129,7.852,3.2564,1.1833,0.368,0.0892,14.6059,13.2684,2.8532,0.2866,0.0162,9.499,3.6865,0.8931,0.1623,4.5866,1.1111,0.2019,0.6912,0.1256,0.0521,,
L,Inglaterra,Gana,23/06,16.6407,18.2468,13.0573,7.0078,2.8866,7.5161,5.3785,1.1077,0.5945,0.0816,8.2769,7.3607,1.548,0.1521,0.0084,2.9033,0.6718,0.0922,0.0095,1.4422,0.198,0.0204,0.2125,0.0219,0.0157,,
L,Panamá,Inglaterra,27/06,2.6968,0.6961,0.1058,0.0121,0.0275,1.5852,0.241,0.2744,0.0313,0.0237,7.0492,7.3073,1.8049,0.2083,0.0135,14.8861,17.3543,13.173,7.4993,7.9148,6.0078,3.4202,1.37,0.7799,0.1186,,
L,Croácia,Gana,27/06,16.1289,14.9782,8.9922,4.0489,2.3954,8.8613,5.3199,1.5737,0.7086,0.1397,9.7387,10.3438,2.6212,0.3103,0.0207,4.9597,1.6161,0.3187,0.0471,2.9108,0.574,0.0849,0.5169,0.0765,0.0459,,
L,Panamá,Croácia,23/06,4.6061,1.6721,0.3651,0.0598,0.1142,3.1945,0.6975,0.6663,0.1091,0.0695,8.2935,10.2531,3.0515,0.4243,0.0332,14.3912,14.2238,9.058,4.3262,9.3171,5.9333,2.8338,1.9433,0.9281,0.2027,,
L,Gana,Panamá,17/06,11.1793,6.4244,2.3188,0.6277,0.7095,7.2612,2.6209,1.4811,0.401,0.1511,11.6447,14.098,4.1035,0.558,0.0427,11.699,6.9994,2.6371,0.7451,7.5792,2.8555,0.8069,1.546,0.4368,0.1577,,
