key_id,tournament_name,match_name,match_id,match_date,player_id,team_name,away_team,home_team,family_name,given_name,shirt_number,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,year
44,1930 FIFA Men's World Cup,Uruguay vs Romania,M-1930-14,1930-07-21,P-44201,Uruguay,0,1,Scarone,Héctor,0,Uruguay,URY,26',26,0,first half,0,0,1930
45,1930 FIFA Men's World Cup,Uruguay vs Romania,M-1930-14,1930-07-21,P-57352,Uruguay,0,1,Anselmo,Peregrino,0,Uruguay,URY,31',31,0,first half,0,0,1930
46,1930 FIFA Men's World Cup,Uruguay vs Romania,M-1930-14,1930-07-21,P-18628,Uruguay,0,1,Cea,Pedro,0,Uruguay,URY,35',35,0,first half,0,0,1930
47,1930 FIFA Men's World Cup,Argentina vs Chile,M-1930-15,1930-07-22,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,12',12,0,first half,0,0,1930
48,1930 FIFA Men's World Cup,Argentina vs Chile,M-1930-15,1930-07-22,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,13',13,0,first half,0,0,1930
49,1930 FIFA Men's World Cup,Argentina vs Chile,M-1930-15,1930-07-22,P-08459,Chile,1,0,Subiabre,Guillermo,0,Chile,CHL,15',15,0,first half,0,0,1930
50,1930 FIFA Men's World Cup,Argentina vs Chile,M-1930-15,1930-07-22,P-23897,Argentina,0,1,Evaristo,Mario,0,Argentina,ARG,51',51,0,second half,0,0,1930
51,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-25760,Argentina,0,1,Monti,Luis,0,Argentina,ARG,20',20,0,first half,0,0,1930
52,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-44916,Argentina,0,1,Scopelli,Alejandro,0,Argentina,ARG,56',56,0,second half,0,0,1930
53,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,69',69,0,second half,0,0,1930
54,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-70166,Argentina,0,1,Peucelle,Carlos,0,Argentina,ARG,80',80,0,second half,0,0,1930
55,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-70166,Argentina,0,1,Peucelle,Carlos,0,Argentina,ARG,85',85,0,second half,0,0,1930
56,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,87',87,0,second half,0,0,1930
57,1930 FIFA Men's World Cup,Argentina vs United States,M-1930-16,1930-07-26,P-06424,United States,1,0,Brown,Jim,0,United States,USA,89',89,0,second half,0,0,1930
58,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-33565,Serbia,1,0,Vujadinović,Đorđe,0,Serbia,YUG,4',4,0,first half,0,0,1930
59,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-18628,Uruguay,0,1,Cea,Pedro,0,Uruguay,URY,18',18,0,first half,0,0,1930
60,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-57352,Uruguay,0,1,Anselmo,Peregrino,0,Uruguay,URY,20',20,0,first half,0,0,1930
61,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-57352,Uruguay,0,1,Anselmo,Peregrino,0,Uruguay,URY,31',31,0,first half,0,0,1930
62,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-31959,Uruguay,0,1,Iriarte,Santos,0,Uruguay,URY,61',61,0,second half,0,0,1930
63,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-18628,Uruguay,0,1,Cea,Pedro,0,Uruguay,URY,67',67,0,second half,0,0,1930
64,1930 FIFA Men's World Cup,Uruguay vs Serbia,M-1930-17,1930-07-27,P-18628,Uruguay,0,1,Cea,Pedro,0,Uruguay,URY,72',72,0,second half,0,0,1930
65,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-38674,Uruguay,0,1,Dorado,Pablo,0,Uruguay,URY,12',12,0,first half,0,0,1930
66,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-70166,Argentina,1,0,Peucelle,Carlos,0,Argentina,ARG,20',20,0,first half,0,0,1930
67,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-56486,Argentina,1,0,Stábile,Guillermo,0,Argentina,ARG,37',37,0,first half,0,0,1930
68,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-18628,Uruguay,0,1,Cea,Pedro,0,Uruguay,URY,57',57,0,second half,0,0,1930
69,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-31959,Uruguay,0,1,Iriarte,Santos,0,Uruguay,URY,68',68,0,second half,0,0,1930
70,1930 FIFA Men's World Cup,Uruguay vs Argentina,M-1930-18,1930-07-30,P-54697,Uruguay,0,1,Castro,Héctor,0,Uruguay,URY,89',89,0,second half,0,0,1930
71,1934 FIFA Men's World Cup,Austria vs France,M-1934-01,1934-05-27,P-70804,France,1,0,Nicolas,Jean,0,France,FRA,18',18,0,first half,0,0,1934
72,1934 FIFA Men's World Cup,Austria vs France,M-1934-01,1934-05-27,P-11865,Austria,0,1,Sindelar,Matthias,0,Austria,AUT,44',44,0,first half,0,0,1934
73,1934 FIFA Men's World Cup,Austria vs France,M-1934-01,1934-05-27,P-87474,Austria,0,1,Schall,Anton,0,Austria,AUT,93',93,0,"extra time, first half",0,0,1934
74,1934 FIFA Men's World Cup,Austria vs France,M-1934-01,1934-05-27,P-51668,Austria,0,1,Bican,Josef,0,Austria,AUT,109',109,0,"extra time, second half",0,0,1934
75,1934 FIFA Men's World Cup,Austria vs France,M-1934-01,1934-05-27,P-13166,France,1,0,Verriest,Georges,0,France,FRA,116',116,0,"extra time, second half",0,1,1934
76,1934 FIFA Men's World Cup,Czechoslovakia vs Romania,M-1934-02,1934-05-27,P-55855,Romania,1,0,Dobay,Ștefan,0,Romania,ROU,11',11,0,first half,0,0,1934
77,1934 FIFA Men's World Cup,Czechoslovakia vs Romania,M-1934-02,1934-05-27,P-51219,Czechoslovakia,0,1,Puč,Antonín,0,Czechoslovakia,CSK,50',50,0,second half,0,0,1934
78,1934 FIFA Men's World Cup,Czechoslovakia vs Romania,M-1934-02,1934-05-27,P-60513,Czechoslovakia,0,1,Nejedlý,Oldřich,0,Czechoslovakia,CSK,67',67,0,second half,0,0,1934
79,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-04241,Germany,0,1,Kobierski,Stanislaus,0,Germany,DEU,25',25,0,first half,0,0,1934
80,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-85443,Belgium,1,0,Voorhoof,Bernard,0,Belgium,BEL,29',29,0,first half,0,0,1934
81,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-85443,Belgium,1,0,Voorhoof,Bernard,0,Belgium,BEL,43',43,0,first half,0,0,1934
82,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-53238,Germany,0,1,Siffling,Otto,0,Germany,DEU,49',49,0,second half,0,0,1934
83,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-77348,Germany,0,1,Conen,Edmund,0,Germany,DEU,66',66,0,second half,0,0,1934
84,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-77348,Germany,0,1,Conen,Edmund,0,Germany,DEU,70',70,0,second half,0,0,1934
85,1934 FIFA Men's World Cup,Germany vs Belgium,M-1934-03,1934-05-27,P-77348,Germany,0,1,Conen,Edmund,0,Germany,DEU,87',87,0,second half,0,0,1934
86,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-42669,Hungary,0,1,Teleki,Pál,0,Hungary,HUN,11',11,0,first half,0,0,1934
87,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-60977,Hungary,0,1,Toldi,Géza,0,Hungary,HUN,31',31,0,first half,0,0,1934
88,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-28239,Egypt,1,0,Fawzi,Abdulrahman,0,Egypt,EGY,35',35,0,first half,0,0,1934
89,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-28239,Egypt,1,0,Fawzi,Abdulrahman,0,Egypt,EGY,39',39,0,first half,0,0,1934
90,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-11520,Hungary,0,1,Vincze,Jenő,0,Hungary,HUN,53',53,0,second half,0,0,1934
91,1934 FIFA Men's World Cup,Hungary vs Egypt,M-1934-04,1934-05-27,P-60977,Hungary,0,1,Toldi,Géza,0,Hungary,HUN,61',61,0,second half,0,0,1934
92,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-56703,Italy,0,1,Schiavio,Angelo,0,Italy,ITA,18',18,0,first half,0,0,1934
93,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-03638,Italy,0,1,Orsi,Raimundo,0,Italy,ITA,20',20,0,first half,0,0,1934
94,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-56703,Italy,0,1,Schiavio,Angelo,0,Italy,ITA,29',29,0,first half,0,0,1934
95,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-75829,United States,1,0,Donelli,Aldo,0,United States,USA,57',57,0,second half,0,0,1934
96,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-39512,Italy,0,1,Ferrari,Giovanni,0,Italy,ITA,63',63,0,second half,0,0,1934
97,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-56703,Italy,0,1,Schiavio,Angelo,0,Italy,ITA,64',64,0,second half,0,0,1934
98,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-03638,Italy,0,1,Orsi,Raimundo,0,Italy,ITA,69',69,0,second half,0,0,1934
99,1934 FIFA Men's World Cup,Italy vs United States,M-1934-05,1934-05-27,P-34536,Italy,0,1,Meazza,Giuseppe,0,Italy,ITA,90',90,0,second half,0,0,1934
100,1934 FIFA Men's World Cup,Spain vs Brazil,M-1934-06,1934-05-27,P-64059,Spain,0,1,Iraragorri,José,0,Spain,ESP,18',18,0,first half,0,1,1934
101,1934 FIFA Men's World Cup,Spain vs Brazil,M-1934-06,1934-05-27,P-64059,Spain,0,1,Iraragorri,José,0,Spain,ESP,25',25,0,first half,0,0,1934
102,1934 FIFA Men's World Cup,Spain vs Brazil,M-1934-06,1934-05-27,P-69133,Spain,0,1,Lángara,Isidro,0,Spain,ESP,29',29,0,first half,0,0,1934
103,1934 FIFA Men's World Cup,Spain vs Brazil,M-1934-06,1934-05-27,P-09730,Brazil,1,0,Leônidas,not applicable,0,Brazil,BRA,55',55,0,second half,0,0,1934
104,1934 FIFA Men's World Cup,Sweden vs Argentina,M-1934-07,1934-05-27,P-11019,Argentina,1,0,Belis,Ernesto,0,Argentina,ARG,4',4,0,first half,0,0,1934
105,1934 FIFA Men's World Cup,Sweden vs Argentina,M-1934-07,1934-05-27,P-79374,Sweden,0,1,Jonasson,Sven,0,Sweden,SWE,9',9,0,first half,0,0,1934
106,1934 FIFA Men's World Cup,Sweden vs Argentina,M-1934-07,1934-05-27,P-61839,Argentina,1,0,Galateo,Alberto,0,Argentina,ARG,48',48,0,second half,0,0,1934
107,1934 FIFA Men's World Cup,Sweden vs Argentina,M-1934-07,1934-05-27,P-79374,Sweden,0,1,Jonasson,Sven,0,Sweden,SWE,67',67,0,second half,0,0,1934
108,1934 FIFA Men's World Cup,Sweden vs Argentina,M-1934-07,1934-05-27,P-02091,Sweden,0,1,Kroon,Knut,0,Sweden,SWE,79',79,0,second half,0,0,1934
109,1934 FIFA Men's World Cup,Switzerland vs Netherlands,M-1934-08,1934-05-27,P-88416,Switzerland,0,1,Kielholz,Leopold,0,Switzerland,CHE,7',7,0,first half,0,0,1934
110,1934 FIFA Men's World Cup,Switzerland vs Netherlands,M-1934-08,1934-05-27,P-85884,Netherlands,1,0,Smit,Kick,0,Netherlands,NLD,29',29,0,first half,0,0,1934
111,1934 FIFA Men's World Cup,Switzerland vs Netherlands,M-1934-08,1934-05-27,P-88416,Switzerland,0,1,Kielholz,Leopold,0,Switzerland,CHE,43',43,0,first half,0,0,1934
112,1934 FIFA Men's World Cup,Switzerland vs Netherlands,M-1934-08,1934-05-27,P-85334,Switzerland,0,1,Abegglen,André,0,Switzerland,CHE,66',66,0,second half,0,0,1934
113,1934 FIFA Men's World Cup,Switzerland vs Netherlands,M-1934-08,1934-05-27,P-55392,Netherlands,1,0,Vente,Leen,0,Netherlands,NLD,69',69,0,second half,0,0,1934
114,1934 FIFA Men's World Cup,Austria vs Hungary,M-1934-09,1934-05-31,P-51711,Austria,0,1,Horvath,Johann,0,Austria,AUT,8',8,0,first half,0,0,1934
115,1934 FIFA Men's World Cup,Austria vs Hungary,M-1934-09,1934-05-31,P-05719,Austria,0,1,Zischek,Karl,0,Austria,AUT,51',51,0,second half,0,0,1934
116,1934 FIFA Men's World Cup,Austria vs Hungary,M-1934-09,1934-05-31,P-89034,Hungary,1,0,Sárosi,György,0,Hungary,HUN,60',60,0,second half,0,1,1934
117,1934 FIFA Men's World Cup,Czechoslovakia vs Switzerland,M-1934-10,1934-05-31,P-88416,Switzerland,1,0,Kielholz,Leopold,0,Switzerland,CHE,18',18,0,first half,0,0,1934
118,1934 FIFA Men's World Cup,Czechoslovakia vs Switzerland,M-1934-10,1934-05-31,P-13470,Czechoslovakia,0,1,Svoboda,František,0,Czechoslovakia,CSK,24',24,0,first half,0,0,1934
119,1934 FIFA Men's World Cup,Czechoslovakia vs Switzerland,M-1934-10,1934-05-31,P-58983,Czechoslovakia,0,1,Sobotka,Jiří,0,Czechoslovakia,CSK,49',49,0,second half,0,0,1934
120,1934 FIFA Men's World Cup,Czechoslovakia vs Switzerland,M-1934-10,1934-05-31,P-58205,Switzerland,1,0,Jäggi,Willy,0,Switzerland,CHE,78',78,0,second half,0,0,1934
121,1934 FIFA Men's World Cup,Czechoslovakia vs Switzerland,M-1934-10,1934-05-31,P-60513,Czechoslovakia,0,1,Nejedlý,Oldřich,0,Czechoslovakia,CSK,82',82,0,second half,0,0,1934
122,1934 FIFA Men's World Cup,Germany vs Sweden,M-1934-11,1934-05-31,P-56231,Germany,0,1,Hohmann,Karl,0,Germany,DEU,60',60,0,second half,0,0,1934
123,1934 FIFA Men's World Cup,Germany vs Sweden,M-1934-11,1934-05-31,P-56231,Germany,0,1,Hohmann,Karl,0,Germany,DEU,63',63,0,second half,0,0,1934
124,1934 FIFA Men's World Cup,Germany vs Sweden,M-1934-11,1934-05-31,P-83366,Sweden,1,0,Dunker,Gösta,0,Sweden,SWE,82',82,0,second half,0,0,1934
125,1934 FIFA Men's World Cup,Italy vs Spain,M-1934-12,1934-05-31,P-40752,Spain,1,0,Regueiro,Luis,0,Spain,ESP,30',30,0,first half,0,0,1934
126,1934 FIFA Men's World Cup,Italy vs Spain,M-1934-12,1934-05-31,P-39512,Italy,0,1,Ferrari,Giovanni,0,Italy,ITA,44',44,0,first half,0,0,1934
127,1934 FIFA Men's World Cup,Italy vs Spain,M-1934-13,1934-06-01,P-34536,Italy,0,1,Meazza,Giuseppe,0,Italy,ITA,11',11,0,first half,0,0,1934
128,1934 FIFA Men's World Cup,Czechoslovakia vs Germany,M-1934-14,1934-06-03,P-60513,Czechoslovakia,0,1,Nejedlý,Oldřich,0,Czechoslovakia,CSK,21',21,0,first half,0,0,1934
129,1934 FIFA Men's World Cup,Czechoslovakia vs Germany,M-1934-14,1934-06-03,P-30818,Germany,1,0,Noack,Rudolf,0,Germany,DEU,62',62,0,second half,0,0,1934
130,1934 FIFA Men's World Cup,Czechoslovakia vs Germany,M-1934-14,1934-06-03,P-60513,Czechoslovakia,0,1,Nejedlý,Oldřich,0,Czechoslovakia,CSK,69',69,0,second half,0,0,1934
131,1934 FIFA Men's World Cup,Czechoslovakia vs Germany,M-1934-14,1934-06-03,P-60513,Czechoslovakia,0,1,Nejedlý,Oldřich,0,Czechoslovakia,CSK,80',80,0,second half,0,0,1934
132,1934 FIFA Men's World Cup,Italy vs Austria,M-1934-15,1934-06-03,P-03545,Italy,0,1,Guaita,Enrique,0,Italy,ITA,19',19,0,first half,0,0,1934
133,1934 FIFA Men's World Cup,Germany vs Austria,M-1934-16,1934-06-07,P-38753,Germany,0,1,Lehner,Ernst,0,Germany,DEU,1',1,0,first half,0,0,1934
134,1934 FIFA Men's World Cup,Germany vs Austria,M-1934-16,1934-06-07,P-77348,Germany,0,1,Conen,Edmund,0,Germany,DEU,27',27,0,first half,0,0,1934
135,1934 FIFA Men's World Cup,Germany vs Austria,M-1934-16,1934-06-07,P-51711,Austria,1,0,Horvath,Johann,0,Austria,AUT,28',28,0,first half,0,0,1934
