Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,13,13
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,12,14,20,25
Kuwait,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Mexico,4,4,4,6,8,9,12,13,19,19,21,21,27,27,31,39,43,48,52,57,60,62
Morocco,0,0,0,0,0,0,0,0,2,2,2,2,5,5,7,12,12,12,12,12,14,20
Netherlands,0,2,2,2,2,2,2,2,2,17,32,32,32,35,43,56,56,59,70,85,85,95
New Zealand,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,13,16,19,22,22
North Korea,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Northern Ireland,0,0,0,0,0,6,6,6,6,6,6,11,13,13,13,13,13,13,13,13,13,13
Norway,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,6,6,6,6,6
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Paraguay,1,1,1,3,3,12,12,12,12,12,12,12,16,16,16,19,24,25,28,28,28,28
Peru,1,1,1,1,1,1,1,1,10,10,17,19,19,19,19,19,19,19,19,19,21,21
Poland,0,0,5,5,5,5,5,5,5,21,27,38,39,39,39,39,42,44,44,44,46,49
Portugal,0,0,0,0,0,0,0,16,16,16,16,16,18,18,18,18,23,30,37,40,46,58
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Romania,3,4,8,8,8,8,8,8,12,12,12,12,12,16,26,30,30,30,30,30,30,30
Russia,0,0,0,0,0,5,14,24,30,30,30,37,48,52,59,59,63,63,63,65,75,75
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,9,9,9,11,14
Scotland,0,0,0,0,0,4,4,4,4,7,11,19,20,22,22,24,24,24,24,24,24,24
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,10,15
Serbia,7,7,7,14,16,23,33,33,33,45,45,47,47,55,55,60,60,60,62,62,64,69
Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,11,11,11,11
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,11,19,22,28,31,34,39
Spain,0,4,4,14,14,14,16,20,20,20,22,26,37,43,53,60,70,79,87,91,97,106
Sweden,0,4,15,26,26,38,38,38,40,47,48,48,48,51,66,66,71,74,74,74,79,79
Switzerland,0,5,10,14,25,25,27,28,28,28,28,28,28,28,33,33,33,37,38,45,50,55
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Tunisia,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,5,8,8,8,13,14
Turkey,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
United States,7,8,8,12,12,12,12,12,12,12,12,12,12,14,16,17,23,24,29,34,34,37
Uruguay,15,15,15,30,46,46,50,52,56,57,57,57,59,61,61,61,65,65,76,80,86,88
Wales,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
