group,home_team,away_team,home_score,away_score,probability
A,South Africa,Czech Republic,3,1,0.0183822
A,South Africa,Czech Republic,3,2,0.01224556
A,South Africa,Czech Republic,3,3,0.00543837
A,South Africa,Czech Republic,3,4,0.00181142
A,South Africa,Czech Republic,3,5,0.00048268
A,South Africa,Czech Republic,4,0,0.00318559
A,South Africa,Czech Republic,4,1,0.00424425
A,South Africa,Czech Republic,4,2,0.00282737
A,South Africa,Czech Republic,4,3,0.00125566
A,South Africa,Czech Republic,4,4,0.00041824
A,South Africa,Czech Republic,4,5,0.00011145
A,South Africa,Czech Republic,5,0,0.00058841
A,South Africa,Czech Republic,5,1,0.00078396
A,South Africa,Czech Republic,5,2,0.00052225
A,South Africa,Czech Republic,5,3,0.00023193
A,South Africa,Czech Republic,5,4,7.725e-05
A,South Africa,Czech Republic,5,5,2.059e-05
B,Canada,Switzerland,0,0,0.10191422
B,Canada,Switzerland,0,1,0.1235582
B,Canada,Switzerland,0,2,0.08900815
B,Canada,Switzerland,0,3,0.04055986
B,Canada,Switzerland,0,4,0.01386195
B,Canada,Switzerland,0,5,0.00379003
B,Canada,Switzerland,1,0,0.08740905
B,Canada,Switzerland,1,1,0.13525827
B,Canada,Switzerland,1,2,0.0879008
B,Canada,Switzerland,1,3,0.04005525
B,Canada,Switzerland,1,4,0.01368949
B,Canada,Switzerland,1,5,0.00374287
B,Canada,Switzerland,2,0,0.0464494
B,Canada,Switzerland,2,1,0.06349916
B,Canada,Switzerland,2,2,0.04340361
B,Canada,Switzerland,2,3,0.01977846
B,Canada,Switzerland,2,4,0.00675959
B,Canada,Switzerland,2,5,0.00184815
B,Canada,Switzerland,3,0,0.01529051
B,Canada,Switzerland,3,1,0.02090305
B,Canada,Switzerland,3,2,0.01428788
B,Canada,Switzerland,3,3,0.0065108
B,Canada,Switzerland,3,4,0.00222516
B,Canada,Switzerland,3,5,0.00060839
B,Canada,Switzerland,4,0,0.00377507
B,Canada,Switzerland,4,1,0.00516075
B,Canada,Switzerland,4,2,0.00352753
B,Canada,Switzerland,4,3,0.00160745
B,Canada,Switzerland,4,4,0.00054937
B,Canada,Switzerland,4,5,0.0001502
B,Canada,Switzerland,5,0,0.00074562
B,Canada,Switzerland,5,1,0.00101931
B,Canada,Switzerland,5,2,0.00069673
B,Canada,Switzerland,5,3,0.00031749
B,Canada,Switzerland,5,4,0.00010851
B,Canada,Switzerland,5,5,2.967e-05
B,Canada,Qatar,0,0,0.06517932
B,Canada,Qatar,0,1,0.04200027
B,Canada,Qatar,0,2,0.01833657
B,Canada,Qatar,0,3,0.00477079
B,Canada,Qatar,0,4,0.00093094
B,Canada,Qatar,0,5,0.00014533
B,Canada,Qatar,1,0,0.11831529
B,Canada,Qatar,1,1,0.10122407
B,Canada,Qatar,1,2,0.03755938
B,Canada,Qatar,1,3,0.00977216
B,Canada,Qatar,1,4,0.00190688
B,Canada,Qatar,1,5,0.00029768
B,Canada,Qatar,2,0,0.12627915
B,Canada,Qatar,2,1,0.09856556
B,Canada,Qatar,2,2,0.03846703
B,Canada,Qatar,2,3,0.01000832
B,Canada,Qatar,2,4,0.00195297
B,Canada,Qatar,2,5,0.00030487
B,Canada,Qatar,3,0,0.08622053
B,Canada,Qatar,3,1,0.06729832
B,Canada,Qatar,3,2,0.02626441
B,Canada,Qatar,3,3,0.00683345
B,Canada,Qatar,3,4,0.00133344
B,Canada,Qatar,3,5,0.00020816
B,Canada,Qatar,4,0,0.04415206
B,Canada,Qatar,4,1,0.03446232
B,Canada,Qatar,4,2,0.01344956
B,Canada,Qatar,4,3,0.00349929
B,Canada,Qatar,4,4,0.00068283
B,Canada,Qatar,4,5,0.0001066
B,Canada,Qatar,5,0,0.01808761
B,Canada,Qatar,5,1,0.01411805
B,Canada,Qatar,5,2,0.00550983
B,Canada,Qatar,5,3,0.00143354
B,Canada,Qatar,5,4,0.00027973
B,Canada,Qatar,5,5,4.367e-05
B,Canada,Bosnia and Herzegovina,0,0,0.11354005
B,Canada,Bosnia and Herzegovina,0,1,0.06780466
B,Canada,Bosnia and Herzegovina,0,2,0.02524834
B,Canada,Bosnia and Herzegovina,0,3,0.00576484
B,Canada,Bosnia and Herzegovina,0,4,0.0009872
B,Canada,Bosnia and Herzegovina,0,5,0.00013524
B,Canada,Bosnia and Herzegovina,1,0,0.16083978
B,Canada,Bosnia and Herzegovina,1,1,0.12013917
B,Canada,Bosnia and Herzegovina,1,2,0.03912025
B,Canada,Bosnia and Herzegovina,1,3,0.00893216
B,Canada,Bosnia and Herzegovina,1,4,0.00152958
B,Canada,Bosnia and Herzegovina,1,5,0.00020955
B,Canada,Bosnia and Herzegovina,2,0,0.12918698
B,Canada,Bosnia and Herzegovina,2,1,0.08849009
B,Canada,Bosnia and Herzegovina,2,2,0.03030683
B,Canada,Bosnia and Herzegovina,2,3,0.00691983
B,Canada,Bosnia and Herzegovina,2,4,0.00118498
B,Canada,Bosnia and Herzegovina,2,5,0.00016234
B,Canada,Bosnia and Herzegovina,3,0,0.06672159
B,Canada,Bosnia and Herzegovina,3,1,0.04570275
B,Canada,Bosnia and Herzegovina,3,2,0.01565266
B,Canada,Bosnia and Herzegovina,3,3,0.0035739
B,Canada,Bosnia and Herzegovina,3,4,0.00061201
B,Canada,Bosnia and Herzegovina,3,5,8.384e-05
B,Canada,Bosnia and Herzegovina,4,0,0.02584493
B,Canada,Bosnia and Herzegovina,4,1,0.01770318
B,Canada,Bosnia and Herzegovina,4,2,0.00606313
B,Canada,Bosnia and Herzegovina,4,3,0.00138437
B,Canada,Bosnia and Herzegovina,4,4,0.00023707
B,Canada,Bosnia and Herzegovina,4,5,3.248e-05
B,Canada,Bosnia and Herzegovina,5,0,0.00800892
B,Canada,Bosnia and Herzegovina,5,1,0.00548593
B,Canada,Bosnia and Herzegovina,5,2,0.00187887
B,Canada,Bosnia and Herzegovina,5,3,0.00042899
B,Canada,Bosnia and Herzegovina,5,4,7.346e-05
B,Canada,Bosnia and Herzegovina,5,5,1.006e-05
B,Switzerland,Qatar,0,0,0.03585103
B,Switzerland,Qatar,0,1,0.02095067
B,Switzerland,Qatar,0,2,0.00920004
B,Switzerland,Qatar,0,3,0.00231141
B,Switzerland,Qatar,0,4,0.00043554
B,Switzerland,Qatar,0,5,6.565e-05
B,Switzerland,Qatar,1,0,0.08522164
B,Switzerland,Qatar,1,1,0.07030406
B,Switzerland,Qatar,1,2,0.02519015
B,Switzerland,Qatar,1,3,0.00632876
B,Switzerland,Qatar,1,4,0.00119253
B,Switzerland,Qatar,1,5,0.00017977
B,Switzerland,Qatar,2,0,0.12140963
B,Switzerland,Qatar,2,1,0.0915087
B,Switzerland,Qatar,2,2,0.03448591
B,Switzerland,Qatar,2,3,0.00866422
B,Switzerland,Qatar,2,4,0.0016326
B,Switzerland,Qatar,2,5,0.0002461
B,Switzerland,Qatar,3,0,0.11080842
B,Switzerland,Qatar,3,1,0.08351837
B,Switzerland,Qatar,3,2,0.03147467
B,Switzerland,Qatar,3,3,0.00790768
B,Switzerland,Qatar,3,4,0.00149004
B,Switzerland,Qatar,3,5,0.00022461
B,Switzerland,Qatar,4,0,0.07584966
B,Switzerland,Qatar,4,1,0.0571693
B,Switzerland,Qatar,4,2,0.02154478
B,Switzerland,Qatar,4,3,0.0054129
B,Switzerland,Qatar,4,4,0.00101995
B,Switzerland,Qatar,4,5,0.00015375
B,Switzerland,Qatar,5,0,0.04153598
B,Switzerland,Qatar,5,1,0.03130644
B,Switzerland,Qatar,5,2,0.01179812
B,Switzerland,Qatar,5,3,0.00296416
B,Switzerland,Qatar,5,4,0.00055853
B,Switzerland,Qatar,5,5,8.42e-05
B,Switzerland,Bosnia and Herzegovina,0,0,0.07103997
B,Switzerland,Bosnia and Herzegovina,0,1,0.03916958
B,Switzerland,Bosnia and Herzegovina,0,2,0.01451067
B,Switzerland,Bosnia and Herzegovina,0,3,0.00319932
B,Switzerland,Bosnia and Herzegovina,0,4,0.00052904
B,Switzerland,Bosnia and Herzegovina,0,5,6.999e-05
B,Switzerland,Bosnia and Herzegovina,1,0,0.13268006
B,Switzerland,Bosnia and Herzegovina,1,1,0.09557936
B,Switzerland,Bosnia and Herzegovina,1,2,0.03005363
B,Switzerland,Bosnia and Herzegovina,1,3,0.00662624
B,Switzerland,Bosnia and Herzegovina,1,4,0.00109572
B,Switzerland,Bosnia and Herzegovina,1,5,0.00014495
B,Switzerland,Bosnia and Herzegovina,2,0,0.14227319
B,Switzerland,Bosnia and Herzegovina,2,1,0.09410543
B,Switzerland,Bosnia and Herzegovina,2,2,0.03112263
B,Switzerland,Bosnia and Herzegovina,2,3,0.00686194
B,Switzerland,Bosnia and Herzegovina,2,4,0.00113469
B,Switzerland,Bosnia and Herzegovina,2,5,0.00015011
B,Switzerland,Bosnia and Herzegovina,3,0,0.09822257
B,Switzerland,Bosnia and Herzegovina,3,1,0.06496851
B,Switzerland,Bosnia and Herzegovina,3,2,0.02148645
B,Switzerland,Bosnia and Herzegovina,3,3,0.00473734
B,Switzerland,Bosnia and Herzegovina,3,4,0.00078337
B,Switzerland,Bosnia and Herzegovina,3,5,0.00010363
B,Switzerland,Bosnia and Herzegovina,4,0,0.05085818
B,Switzerland,Bosnia and Herzegovina,4,1,0.03363972
B,Switzerland,Bosnia and Herzegovina,4,2,0.01112536
B,Switzerland,Bosnia and Herzegovina,4,3,0.00245293
B,Switzerland,Bosnia and Herzegovina,4,4,0.00040562
B,Switzerland,Bosnia and Herzegovina,4,5,5.366e-05
B,Switzerland,Bosnia and Herzegovina,5,0,0.02106688
B,Switzerland,Bosnia and Herzegovina,5,1,0.01393452
B,Switzerland,Bosnia and Herzegovina,5,2,0.00460844
B,Switzerland,Bosnia and Herzegovina,5,3,0.00101607
B,Switzerland,Bosnia and Herzegovina,5,4,0.00016802
B,Switzerland,Bosnia and Herzegovina,5,5,2.223e-05
B,Qatar,Bosnia and Herzegovina,0,0,0.08462885
B,Qatar,Bosnia and Herzegovina,0,1,0.10054554
B,Qatar,Bosnia and Herzegovina,0,2,0.07346976
B,Qatar,Bosnia and Herzegovina,0,3,0.03359822
B,Qatar,Bosnia and Herzegovina,0,4,0.01152352
B,Qatar,Bosnia and Herzegovina,0,5,0.00316187
B,Qatar,Bosnia and Herzegovina,1,0,0.08576057
B,Qatar,Bosnia and Herzegovina,1,1,0.13321518
B,Qatar,Bosnia and Herzegovina,1,2,0.08688078
B,Qatar,Bosnia and Herzegovina,1,3,0.03973117
B,Qatar,Bosnia and Herzegovina,1,4,0.013627
B,Qatar,Bosnia and Herzegovina,1,5,0.00373903
B,Qatar,Bosnia and Herzegovina,2,0,0.05458597
B,Qatar,Bosnia and Herzegovina,2,1,0.0748876
B,Qatar,Bosnia and Herzegovina,2,2,0.05136991
