home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Equador,Jordânia,56.783,27.675,15.542,14.27,8.154,2.36,0.462,0.088,19.262,10.973,3.227,0.584,0.102,13.513,7.721,2.204,0.431,0.071,6.251,3.551,1.058,0.217,0.031,2.252,1.254,0.355,0.065,0.009
Equador,Portugal,20.849,32.971,46.18,19.387,20.138,10.583,3.811,1.0,11.493,11.537,6.323,2.291,0.619,3.49,3.641,1.896,0.659,0.169,0.746,0.741,0.386,0.142,0.04,0.097,0.117,0.056,0.029,0.009
Equador,Colômbia,21.009,35.738,43.253,22.756,20.977,9.798,3.128,0.753,12.317,11.403,5.434,1.718,0.415,3.53,3.246,1.485,0.555,0.114,0.684,0.656,0.287,0.087,0.032,0.111,0.083,0.045,0.018,0.007
Equador,Uzbequistão,59.771,27.567,12.662,15.648,7.372,1.766,0.295,0.033,21.333,10.133,2.391,0.412,0.065,14.839,7.013,1.645,0.26,0.032,6.973,3.269,0.818,0.138,0.017,2.487,1.158,0.29,0.043,0.003
Equador,RD Congo,37.84,41.445,20.715,30.564,14.007,3.151,0.551,0.079,22.061,9.961,2.335,0.355,0.045,8.119,3.684,0.891,0.158,0.022,2.046,0.91,0.263,0.028,0.004,0.386,0.199,0.063,0.005,0.001
Equador,Inglaterra,17.877,35.954,46.169,23.966,22.394,11.047,3.587,0.927,11.263,10.67,5.143,1.708,0.42,2.666,2.626,1.239,0.444,0.116,0.481,0.453,0.212,0.077,0.029,0.059,0.057,0.034,0.012,0.002
Equador,Croácia,33.383,34.696,31.921,19.605,15.426,6.455,1.778,0.411,15.971,12.696,5.181,1.412,0.331,6.691,5.455,2.195,0.588,0.135,1.905,1.609,0.626,0.187,0.024,0.419,0.324,0.143,0.038,0.012
Equador,Gana,47.555,35.171,17.274,23.04,10.753,2.673,0.445,0.047,22.384,10.656,2.624,0.416,0.045,11.303,5.435,1.388,0.221,0.03,3.957,1.878,0.485,0.082,0.009,1.047,0.493,0.116,0.01,0.004
Equador,Panamá,50.647,32.149,17.204,19.454,10.08,2.606,0.491,0.074,21.623,10.936,3.026,0.497,0.074,12.197,6.241,1.645,0.286,0.028,4.622,2.398,0.562,0.109,0.014,1.371,0.731,0.2,0.028,0.005
Curaçao,Costa do Marfim,12.479,22.525,64.996,9.925,16.677,14.506,8.388,3.808,5.787,9.667,8.4,5.123,2.235,1.759,3.066,2.596,1.527,0.633,0.381,0.596,0.573,0.308,0.14,0.058,0.097,0.07,0.048,0.028
Costa do Marfim,Holanda,14.034,21.304,64.662,7.5,13.882,12.715,8.128,3.901,5.475,9.761,9.109,5.844,2.81,2.002,3.583,3.41,2.128,1.085,0.511,0.962,0.844,0.585,0.253,0.1,0.159,0.187,0.114,0.045
Costa do Marfim,Japão,15.547,24.711,59.742,10.56,16.408,13.151,7.07,2.851,6.905,10.802,8.71,4.569,1.869,2.339,3.689,2.966,1.631,0.699,0.536,0.842,0.717,0.353,0.169,0.086,0.154,0.127,0.069,0.029
Costa do Marfim,Tunísia,50.709,28.39,20.901,13.065,9.356,3.466,0.822,0.169,16.892,12.078,4.591,1.175,0.247,11.309,7.932,2.898,0.755,0.133,4.99,3.625,1.326,0.326,0.077,1.635,1.192,0.444,0.105,0.023
Costa do Marfim,Suécia,33.244,25.303,41.453,6.339,8.984,6.768,3.43,1.32,7.92,11.742,8.47,4.373,1.721,5.294,7.451,5.713,2.831,1.08,2.297,3.347,2.511,1.339,0.497,0.799,1.121,0.836,0.443,0.161
Costa do Marfim,Bélgica,17.581,27.621,54.798,13.191,18.028,12.455,5.954,2.074,8.533,11.52,7.753,3.835,1.308,2.818,3.754,2.611,1.247,0.478,0.585,0.854,0.57,0.281,0.088,0.106,0.149,0.084,0.042,0.018
Costa do Marfim,Egito,32.828,33.135,34.037,17.041,14.934,6.845,2.088,0.536,14.6,13.269,5.959,1.852,0.46,6.562,5.758,2.543,0.843,0.171,1.965,1.774,0.819,0.272,0.055,0.492,0.4,0.167,0.06,0.01
Costa do Marfim,Irã,37.789,31.146,31.065,14.54,13.016,5.803,1.812,0.428,14.803,13.112,6.133,1.864,0.431,7.654,6.718,3.134,0.97,0.249,2.782,2.416,1.149,0.333,0.072,0.745,0.641,0.288,0.103,0.026
Costa do Marfim,Nova Zelândia,59.64,22.576,17.784,7.04,5.978,2.653,0.812,0.166,12.306,10.534,4.614,1.379,0.311,11.016,9.635,4.156,1.204,0.284,6.953,5.705,2.501,0.767,0.168,3.184,2.776,1.089,0.356,0.074
Costa do Marfim,Espanha,7.819,18.927,73.254,9.039,17.312,16.67,11.229,5.581,4.205,7.837,7.69,4.904,2.492,0.976,1.793,1.852,1.211,0.586,0.136,0.302,0.277,0.185,0.102,0.025,0.04,0.033,0.023,0.014
